gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,gate_mode,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2228.425,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM16_INLINEQUANT,0.0%,2951.9277,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM16_ATOMIC_NT,0.0%,5180.3527,0,0,0,0.04,818.26,
gfx950,256,2,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2244.7815,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM16_INLINEQUANT,0.0%,2943.4788,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM16_ATOMIC_NT,0.0%,5188.2603,0,0,0,0.08,817.02,
gfx950,256,4,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2240.3067,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM16_INLINEQUANT,0.0%,2958.6222,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM16_ATOMIC_NT,0.0%,5198.9289,0,0,0,0.15,815.35,
gfx950,256,8,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2265.0281,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM16_INLINEQUANT,0.0%,3001.1931,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM16_ATOMIC_NT,0.0%,5266.2212,0,0,0,0.3,804.95,
gfx950,256,16,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2302.7004,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM16_INLINEQUANT,0.0%,3042.4522,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM16_ATOMIC_NT,0.0%,5345.1526,0,0,0,0.59,793.09,
gfx950,256,32,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2356.5496,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM16_INLINEQUANT,0.0%,3111.1379,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM16_ATOMIC_NT,0.0%,5467.6875,0,0,0,1.16,775.38,
gfx950,256,64,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2408.6518,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM16_INLINEQUANT,0.0%,3225.084,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM16_ATOMIC_NT,0.0%,5633.7358,0,0,0,2.25,752.65,
gfx950,256,128,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2444.062,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM16_INLINEQUANT,0.0%,3279.6854,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM16_ATOMIC_NT,0.0%,5723.7474,0,0,0,4.43,741.06,
gfx950,256,256,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2461.5997,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM16_INLINEQUANT,0.0%,3303.8637,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM16_ATOMIC_NT,0.0%,5765.4634,0,0,0,8.8,736.17,
gfx950,256,512,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2499.1832,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM16_INLINEQUANT,0.0%,3345.0939,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM16_ATOMIC_NT,0.0%,5844.2771,0,0,0,17.36,727.19,
gfx950,256,1024,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,2502.8134,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM32_NT,0.0%,3375.7156,mxfp4_moe_g2_a4w4_NE385_H7168_E512_TOPK9_BM32_ATOMIC_NT,0.0%,5878.529,0,0,0,34.52,724.82,
gfx950,256,2048,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,2558.1789,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM128,0.0%,3571.5282,mxfp4_moe_g2_a4w4_NE385_H7168_E512_BM128_NONATOMIC_MXFP4OUT,0.0%,6129.7071,0,0,0,66.21,698.71,
gfx950,256,4096,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,2601.2774,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM128,0.0%,3655.9903,mxfp4_moe_g2_a4w4_NE385_H7168_E512_BM128_NONATOMIC,0.0%,6257.2677,0,0,0,129.73,691.51,
gfx950,256,8192,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,2933.9268,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM128,0.0%,4239.379,mxfp4_moe_g2_a4w4_NE385_H7168_E512_BM128_NONATOMIC_MXFP4OUT,0.0%,7173.3058,0,0,0,226.32,615.48,
gfx950,256,16384,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,3217.5812,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM128,0.0%,5053.775,mxfp4_moe_g2_a4w4_NE385_H7168_E512_BM128_NONATOMIC,0.0%,8271.3562,0,0,0,392.56,555.07,
gfx950,256,32768,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,4162.429,mxfp4_moe_g1_a4w4_NE385_H7168_E512_BM128,0.0%,7000.7831,mxfp4_moe_g2_a4w4_NE385_H7168_E512_BM128_NONATOMIC,0.0%,11163.2121,0,0,0,581.73,442.84,
