cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag,gfx,xbf16,flat
256,1,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,27.779,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,27.779,0,0.0,0.0,,gfx950,0,0
256,2,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,29.1217,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,29.1217,0,0.0,0.0,,gfx950,0,0
256,4,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,31.982,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,31.982,0,0.0,0.0,,gfx950,0,0
256,8,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,39.5245,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,39.5245,0,0.0,0.0,,gfx950,0,0
256,16,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,54.8653,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,54.8653,0,0.0,0.0,,gfx950,0,0
256,32,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,96.0477,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,96.0477,0,0.0,0.0,,gfx950,0,0
256,64,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,146.1392,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,146.1392,0,0.0,0.0,,gfx950,0,0
256,128,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,176.3242,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,176.3242,0,0.0,0.0,,gfx950,0,0
256,256,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,192.7765,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,192.7765,0,0.0,0.0,,gfx950,0,0
256,512,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,218.7797,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_32x256x256_atomic_nt,0.0,218.7797,0,0.0,0.0,,gfx950,0,0
256,1024,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,268.0385,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_32x256x256_atomic_nt,0.0,268.0385,0,0.0,0.0,,gfx950,0,0
256,2048,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,387.829,flydsl_mxmoe_g1_a4w4_64x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_64x256x256_cshuffle,0.0,387.829,0,0.0,0.0,,gfx950,0,0
256,4096,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,489.8796,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256_f4out,0.0,489.8796,0,0.0,0.0,,gfx950,0,0
256,8192,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,894.0265,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256,0.0,894.0265,0,0.0,0.0,,gfx950,0,0
256,16384,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1528.6796,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256,0.0,1528.6796,0,0.0,0.0,,gfx950,0,0
256,32768,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2737.995,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256,0.0,2737.995,0,0.0,0.0,,gfx950,0,0
256,1,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,28.9011,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,28.9011,0,0.0,0.0,,gfx950,0,0
256,2,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,32.1915,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,32.1915,0,0.0,0.0,,gfx950,0,0
256,4,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,40.2373,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,40.2373,0,0.0,0.0,,gfx950,0,0
256,8,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,62.2162,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,62.2162,0,0.0,0.0,,gfx950,0,0
256,16,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,101.4389,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,101.4389,0,0.0,0.0,,gfx950,0,0
256,32,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,194.7474,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,194.7474,0,0.0,0.0,,gfx950,0,0
256,64,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,268.5081,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,268.5081,0,0.0,0.0,,gfx950,0,0
256,128,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,329.9337,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,329.9337,0,0.0,0.0,,gfx950,0,0
256,256,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,362.5241,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,362.5241,0,0.0,0.0,,gfx950,0,0
256,512,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,386.0405,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_32x256x256_atomic_nt,0.0,386.0405,0,0.0,0.0,,gfx950,0,0
256,1024,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,422.7294,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_32x256x256_atomic_nt,0.0,422.7294,0,0.0,0.0,,gfx950,0,0
