cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,gate_mode,tflops,bw,_tag
256,1,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM16_INLINEQUANT,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM16_ATOMIC_NT,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,2,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM16_INLINEQUANT,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM16_ATOMIC_NT,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,4,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM16_INLINEQUANT,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM16_ATOMIC_NT,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,8,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM16_INLINEQUANT,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM16_ATOMIC_NT,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,16,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM16_INLINEQUANT,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM16_ATOMIC_NT,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,32,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM16_INLINEQUANT,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM16_ATOMIC_NT,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,64,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM16_INLINEQUANT,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM16_ATOMIC_NT,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,128,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM16_INLINEQUANT,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM16_ATOMIC_NT,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,256,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM32_NT,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM32_ATOMIC_NT,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,512,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM32_NT,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM32_ATOMIC_NT,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,1024,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM32_CACHED,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM32_ATOMIC,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,2048,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM32_CACHED,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM32_ATOMIC,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,4096,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM128,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM128_NONATOMIC,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,8192,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM128,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM128_NONATOMIC,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,16384,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM128,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM128_NONATOMIC,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
256,32768,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,0,mxfp4_moe_g1_a4w4_NE256_H3072_E1536_BM128,0.0%,0,mxfp4_moe_g2_a4w4_NE256_H3072_E1536_TOPK8_BM128_NONATOMIC,0.0%,0,0,interleave,0,0,mxfp4_guinterleave
